,Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response,totalSeasons,original_title
605,New Girl,2011–2018,TV-14,20 Sep 2011,22 min,"Comedy, Romance",,Elizabeth Meriwether,"Zooey Deschanel, Jake Johnson, Max Greenfield","After a bad break-up, Jess, an offbeat young woman, moves into an apartment loft with three single men. Although they find her behavior very unusual, the men support her - most of the time.",English,United States,Nominated for 5 Primetime Emmys. 11 wins & 85 nominations total,https://m.media-amazon.com/images/M/MV5BMTQ5MzM1NzMwMl5BMl5BanBnXkFtZTgwNjQ2MzI2NzE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}]",,7.8,"258,052",tt1826940,series,,,,,True,7.0,New Girl
606,Call the Midwife,2012–,TV-PG,15 Jan 2012,60 min,"Drama, History",,Heidi Thomas,"Vanessa Redgrave, Laura Main, Jenny Agutter",Chronicles the lives of a group of midwives living in East London in the late 1950s to early 1970s.,English,United Kingdom,Won 2 BAFTA 21 wins & 27 nominations total,https://m.media-amazon.com/images/M/MV5BMTAzMjAwNzc1MzVeQTJeQWpwZ15BbWU4MDQzODgzMjEx._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.6/10'}]",,8.6,"34,017",tt1983079,series,,,,,True,14.0,Call the Midwife
607,Black Mirror,2011–,TV-MA,04 Dec 2011,60 min,"Crime, Drama, Mystery",,Charlie Brooker,"Anjana Vasan, Cristin Milioti, Jimmi Simpson","Featuring stand-alone dramas -- sharp, suspenseful, satirical tales that explore techno-paranoia -- ""Black Mirror"" is a contemporary reworking of ""The Twilight Zone"" with stories that tap into the collective unease about the moder...",English,United Kingdom,Won 6 Primetime Emmys. 48 wins & 155 nominations total,https://m.media-amazon.com/images/M/MV5BODcxMWI2NDMtYTc3NC00OTZjLWFmNmUtM2NmY2I1ODkxYzczXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.7/10'}]",,8.7,"708,105",tt2085059,series,,,,,True,7.0,Black Mirror
608,Margin Call,2011,R,29 Sep 2011,107 min,"Drama, Thriller",J.C. Chandor,J.C. Chandor,"Zachary Quinto, Stanley Tucci, Kevin Spacey",Follows the key people at an investment bank over a 24-hour period during the early stages of the 2008 financial crisis.,English,United States,Nominated for 1 Oscar. 8 wins & 24 nominations total,https://m.media-amazon.com/images/M/MV5BMjE5NzkyNDI2Nl5BMl5BanBnXkFtZTcwMTYzNDc2Ng@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '87%'}, {'Source': 'Metacritic', 'Value': '76/100'}]",76.0,7.1,"155,284",tt1615147,movie,,"$5,354,039",,,True,,Margin Call
609,Django Unchained,2012,R,25 Dec 2012,165 min,"Drama, Western",Quentin Tarantino,Quentin Tarantino,"Jamie Foxx, Christoph Waltz, Leonardo DiCaprio","With the help of a German bounty-hunter, a freed slave sets out to rescue his wife from a brutal plantation owner in Mississippi.","English, German, French, Italian",United States,Won 2 Oscars. 58 wins & 158 nominations total,https://m.media-amazon.com/images/M/MV5BMjIyNTQ5NjQ1OV5BMl5BanBnXkFtZTcwODg1MDU4OA@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '87%'}, {'Source': 'Metacritic', 'Value': '81/100'}]",81.0,8.5,"1,817,589",tt1853728,movie,,"$162,805,434",,,True,,Django Unchained
610,Longmire,2012–2017,TV-14,03 Jun 2012,1 min,"Action, Crime, Drama",,"Hunt Baldwin, John Coveny","Robert Taylor, Katee Sackhoff, Lou Diamond Phillips","Walt Longmire is the dedicated and unflappable sheriff of Absaroka County, Wyoming. Widowed only a year, he is a man in psychic repair but buries his pain behind his brave face, unassuming grin and dry wit.","English, French",United States,7 wins & 9 nominations total,https://m.media-amazon.com/images/M/MV5BMTcxMzIwNzI3M15BMl5BanBnXkFtZTgwODgxMTU5OTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.3/10'}]",,8.3,"42,451",tt1836037,series,,,,,True,6.0,Longmire
611,Hunter x Hunter,2011–2014,TV-14,17 Apr 2016,24 min,"Animation, Action, Adventure",,Yoshihiro Togashi,"Issei Futamata, Megumi Han, Cristina Valenzuela","Gon Freecss aspires to become a Hunter, an exceptional being capable of greatness. With his friends and his potential, he seeks out his father, who left him when he was younger.",Japanese,Japan,2 wins & 1 nomination total,https://m.media-amazon.com/images/M/MV5BYzYxOTlkYzctNGY2MC00MjNjLWIxOWMtY2QwYjcxZWIwMmEwXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '9.0/10'}]",,9.0,"174,712",tt2098220,series,,,,,True,1.0,Hunter x Hunter
612,Ink Master,2012–,TV-14,17 Jan 2012,60 min,"Game-Show, Reality-TV",,,"Dave Navarro, Oliver Peck, Chris Nunez","Ten of the country's most creative and skilled tattoo artists are judged by icons of the tattoo world. They compete for a hundred thousand dollars and the title of ""INK MASTER"".","Spanish, English",United States,2 nominations total,https://m.media-amazon.com/images/M/MV5BYTlkZWYzNGQtODdkNy00MDg5LWIyYzQtZjY0OTMwNjg4MGUyXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}]",,7.4,"5,197",tt1865740,series,,,,,True,16.0,Ink Master
613,Les Misérables,2012,PG-13,25 Dec 2012,158 min,"Drama, Musical, Romance",Tom Hooper,"William Nicholson, Alain Boublil, Claude-Michel Schönberg","Hugh Jackman, Russell Crowe, Anne Hathaway","In 19th-century France, Jean Valjean, who, for decades, has been hunted by the ruthless policeman Javert after breaking parole, agrees to care for a factory worker's daughter. The decision changes their lives forever.",English,"United Kingdom, United States",Won 3 Oscars. 85 wins & 177 nominations total,https://m.media-amazon.com/images/M/MV5BY2Q1YjIxZTAtZTU0YS00ZmE5LWEwODEtY2IyYWM2ZTJlOWE1XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '70%'}, {'Source': 'Metacritic', 'Value': '63/100'}]",63.0,7.5,"356,945",tt1707386,movie,,"$149,260,140",,,True,,Les Misérables
614,Argo,2012,R,12 Oct 2012,120 min,"Biography, Drama, History",Ben Affleck,"Chris Terrio, Tony Mendez, Joshuah Bearman","Ben Affleck, Bryan Cranston, John Goodman","Acting under the cover of a Hollywood producer scouting a location for a science fiction film, a CIA agent launches a dangerous operation to rescue six Americans in Tehran during the U.S. hostage crisis in Iran in 1979.","English, Persian, German, Arabic","United Kingdom, United States",Won 3 Oscars. 96 wins & 156 nominations total,https://m.media-amazon.com/images/M/MV5BM2QyMGUyZTEtMjE4Yi00M2RiLTgwN2QtZDMxZDNiMTFkMTFjXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '96%'}, {'Source': 'Metacritic', 'Value': '86/100'}]",86.0,7.7,"655,757",tt1024648,movie,,"$136,025,503",,,True,,Argo
615,Last Tango in Halifax,2012–2020,TV-14,08 Sep 2013,1 min,"Comedy, Drama, Romance",,Sally Wainwright,"Anne Reid, Derek Jacobi, Sarah Lancashire","After half a century apart, Celia (Anne Reid) and Alan (Derek Jacobi) are reunited and decide to marry.",English,"United Kingdom, United States",Won 3 BAFTA 4 wins & 18 nominations total,https://m.media-amazon.com/images/M/MV5BZmMxNDY5ODktZDA4OS00YWYyLTg5NzQtODI2Nzk4NTQ5Y2E1XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.3/10'}]",,8.3,"9,454",tt2216156,series,,,,,True,5.0,Last Tango in Halifax
616,JoJo's Bizarre Adventure,2012–,TV-14,04 Oct 2012,30 min,"Animation, Action, Adventure",,,"David Vincent, Matthew Mercer, Daisuke Ono","The story of the Joestar family, who are possessed with intense psychic strength, and the adventures each member encounters throughout their lives.","Japanese, English",Japan,3 wins & 23 nominations total,https://m.media-amazon.com/images/M/MV5BMzIyNzY4NTMtNmVhYS00OWFhLTkwMWMtOGFkNTdmNWU2ZDdiXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.5/10'}]",,8.5,"45,330",tt2359704,series,,,,,True,5.0,JoJo's Bizarre Adventure
617,Kung Fu Panda 2,2011,PG,26 May 2011,90 min,"Animation, Action, Adventure",Jennifer Yuh Nelson,"Jonathan Aibel, Glenn Berger, Ethan Reiff","Jack Black, Angelina Jolie, Jackie Chan","Po and his friends fight to stop a peacock villain from conquering China with a deadly new weapon, but first the Dragon Warrior must come to terms with his past.",English,"United States, Canada",Nominated for 1 Oscar. 5 wins & 47 nominations total,https://m.media-amazon.com/images/M/MV5BYmIxMGYzMTUtZDQzYy00ODc4LWE1YzQtZGMwYTc0YTYyYTE0XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '82%'}, {'Source': 'Metacritic', 'Value': '67/100'}]",67.0,7.3,"344,896",tt1302011,movie,,"$165,249,063",,,True,,Kung Fu Panda 2
618,Contagion,2011,PG-13,09 Sep 2011,106 min,"Drama, Thriller",Steven Soderbergh,Scott Z. Burns,"Matt Damon, Kate Winslet, Jude Law","Healthcare professionals, government officials and everyday people find themselves in the midst of a pandemic as the CDC works to find a cure.","English, Mandarin, Cantonese","United Arab Emirates, United States",2 wins & 14 nominations total,https://m.media-amazon.com/images/M/MV5BMTY3MDk5MDc3OV5BMl5BanBnXkFtZTcwNzAyNTg0Ng@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '85%'}, {'Source': 'Metacritic', 'Value': '70/100'}]",70.0,6.8,"326,346",tt1598778,movie,,"$75,658,097",,,True,,Contagion
619,Arrow,2012–2020,TV-14,10 Oct 2012,42 min,"Action, Adventure, Crime",,"Greg Berlanti, Marc Guggenheim, Andrew Kreisberg","Stephen Amell, Katie Cassidy, David Ramsey",Presumed-dead billionaire playboy Oliver Queen returns to Starling City and rights societal wrongs as Arrow.,"English, Greek, Arabic, Russian, Chinese, Spanish, Japanese",United States,22 wins & 89 nominations total,https://m.media-amazon.com/images/M/MV5BNjRlNjNlY2YtYzQxNS00ZTUzLTkwMTQtMjM0YjZlOWQwZmFkXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}]",,7.5,"456,824",tt2193021,series,,,,,True,8.0,Arrow
620,Ninjago: Masters of Spinjitzu,2011–2022,TV-Y7,02 Dec 2011,30 min,"Animation, Action, Adventure",,"Michael Hegner, Tommy Andreasen, Michael Svane Knap","Michael Adamthwaite, Brent Miller, Vincent Tong","When the fate of their world, Ninjago, is challenged by great threats, it's up to the ninja: Kai, Jay, Cole, Zane, Lloyd and Nya to save the world.","Danish, English","Denmark, Canada, Portugal, United States",7 wins & 9 nominations total,https://m.media-amazon.com/images/M/MV5BMzliMjU1YjAtMzM2OS00OGFjLWFjODktY2UwNGU0NTU0NjQ4XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}]",,7.8,"10,341",tt1871731,series,,,,,True,15.0,Ninjago: Masters of Spinjitzu
621,Sword Art Online,2012–,TV-14,08 Jul 2012,1 min,"Animation, Action, Adventure",,Reki Kawahara,"Yoshitsugu Matsuoka, Haruka Tomatsu, Bryce Papenbrook","In the year 2022, thousands of people get trapped in a new virtual MMORPG and the lone wolf player, Kirito, works to escape.","Japanese, English","Japan, Poland, United States",15 wins & 44 nominations total,https://m.media-amazon.com/images/M/MV5BN2NhYzU2NDEtYzI1NS00MjgzLThjZGUtOTYxNGJkZjZmNDdjXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}]",,7.5,"58,483",tt2250192,series,,,,,True,4.0,Sword Art Online
622,The Legend of Korra,2012–2014,TV-PG,14 Apr 2012,1 min,"Animation, Action, Adventure",,"Michael Dante DiMartino, Bryan Konietzko","Janet Varney, P.J. Byrne, David Faustino",Avatar Korra fights to keep Republic City safe from the evil forces of both the physical and spiritual worlds.,English,"United States, South Korea, Japan",27 wins & 42 nominations total,https://m.media-amazon.com/images/M/MV5BMWIyMDNmMGMtZTRjZi00ZWJkLWE2ZjAtMjYwOGFiZGVkZmYzXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.3/10'}]",,8.3,"146,648",tt1695360,series,,,,,True,4.0,The Legend of Korra
623,Sherlock Holmes: A Game of Shadows,2011,PG-13,16 Dec 2011,129 min,"Action, Adventure, Mystery",Guy Ritchie,"Michele Mulroney, Kieran Mulroney, Arthur Conan Doyle","Robert Downey Jr., Jude Law, Jared Harris","Detective Sherlock Holmes is on the trail of criminal mastermind Professor Moriarty, who is carrying out a string of random crimes across Europe.","English, French, Italian, German, Romany",United States,3 wins & 10 nominations total,https://m.media-amazon.com/images/M/MV5BMTQwMzQ5Njk1MF5BMl5BanBnXkFtZTcwNjIxNzIxNw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '60%'}, {'Source': 'Metacritic', 'Value': '48/100'}]",48.0,7.4,"494,334",tt1515091,movie,,"$186,848,418",,,True,,Sherlock Holmes: A Game of Shadows
624,Contraband,2012,R,13 Jan 2012,109 min,"Action, Adventure, Crime",Baltasar Kormákur,"Aaron Guzikowski, Arnaldur Indriðason, Óskar Jónasson","Mark Wahlberg, Giovanni Ribisi, Kate Beckinsale","To protect his brother-in-law from a drug lord, a former smuggler heads to Panama to score millions of dollars in counterfeit bills.","English, Spanish","United Kingdom, France, United States",1 win total,https://m.media-amazon.com/images/M/MV5BMjE3NzY5NTg0OF5BMl5BanBnXkFtZTcwODk4MzgxNw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '50%'}, {'Source': 'Metacritic', 'Value': '51/100'}]",51.0,6.4,"128,247",tt1524137,movie,,"$66,528,000",,,True,,Contraband
625,Savages,2012,R,06 Jul 2012,131 min,"Crime, Drama, Thriller",Oliver Stone,"Shane Salerno, Don Winslow, Oliver Stone","Aaron Taylor-Johnson, Taylor Kitsch, Blake Lively",Pot growers Ben and Chon face off against the Mexican drug cartel who kidnapped their shared girlfriend.,"English, Spanish",United States,7 nominations total,https://m.media-amazon.com/images/M/MV5BMTk0ODIyNDAyMF5BMl5BanBnXkFtZTcwMTQ5Nzg3Nw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '50%'}, {'Source': 'Metacritic', 'Value': '59/100'}]",59.0,6.4,"136,031",tt1615065,movie,,"$47,382,068",,,True,,Savages
626,The Borgias,2011–2013,TV-MA,03 Apr 2011,3 min,"Crime, Drama, History",,Neil Jordan,"Jeremy Irons, François Arnaud, Holliday Grainger","In the fifteenth century, Pope Alexander VI tries to control all power in Italy with the help of his several sons, through murder, intrigue, war, and marriage alliances.",English,"United States, Hungary, Ireland, Canada",Won 3 Primetime Emmys. 16 wins & 55 nominations total,https://m.media-amazon.com/images/M/MV5BZWIxZDVmNmUtOGYzMC00YWU4LWEzMjQtODVmZDljMGZkNmM0XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.9/10'}]",,7.9,"55,632",tt1582457,series,,,,,True,3.0,The Borgias
627,Comedians in Cars Getting Coffee,2012–2019,TV-14,19 Jul 2012,2 min,"Comedy, Family, Talk-Show",,Jerry Seinfeld,"Jerry Seinfeld, Michael Richards, Mario Joyner","Jerry Seinfeld is joined by friends for a cup of coffee and a drive in a classic car, sharing stories all along the way.",English,United States,Nominated for 5 Primetime Emmys. 11 wins & 10 nominations total,https://m.media-amazon.com/images/M/MV5BNWJlMzc1N2UtNmM0MS00YjgyLWExYTgtZWE5ZTliNDg4ODZiXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.0/10'}]",,8.0,"14,016",tt2314952,series,,,,,True,11.0,Comedians in Cars Getting Coffee
628,Top Boy,2011–2023,TV-MA,31 Oct 2011,1 min,"Crime, Drama, Thriller",,Ronan Bennett,"Ashley Walters, Kano, Jasmine Jobson",A group of young people living on edge and out of sight in the crime-riddled area of East London today.,English,United Kingdom,Won 4 BAFTA 9 wins & 27 nominations total,https://m.media-amazon.com/images/M/MV5BNzIxNjNkYjctMzkyYy00ZGE0LTgzMTQtZDczZWY5NWEwNDdjXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.4/10'}]",,8.4,"45,368",tt1830379,series,,,,,True,5.0,Top Boy
629,Dark Shadows,2012,PG-13,11 May 2012,113 min,"Comedy, Fantasy, Horror",Tim Burton,"Seth Grahame-Smith, John August, Dan Curtis","Johnny Depp, Michelle Pfeiffer, Eva Green","An imprisoned vampire, Barnabas Collins, is set free and returns to his ancestral home, where his dysfunctional descendants are in need of his protection.",English,"United States, Australia, United Kingdom",3 wins & 12 nominations total,https://m.media-amazon.com/images/M/MV5BMjNiYWMxZjctMzEyZS00NDZmLTgxYmYtM2NmOGI0MmY3ZTJiXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '35%'}, {'Source': 'Metacritic', 'Value': '55/100'}]",55.0,6.2,"289,219",tt1077368,movie,,"$79,727,149",,,True,,Dark Shadows
630,Total Recall,1990,R,01 Jun 1990,113 min,"Action, Adventure, Sci-Fi",Paul Verhoeven,"Philip K. Dick, Ronald Shusett, Dan O'Bannon","Arnold Schwarzenegger, Sharon Stone, Michael Ironside","When a man goes in to have virtual vacation memories of the planet Mars implanted in his mind, an unexpected and harrowing series of events forces him to go to the planet for real - or is he?",English,"United States, Mexico",Nominated for 2 Oscars. 7 wins & 16 nominations total,https://m.media-amazon.com/images/M/MV5BZjRlMzBkOGMtMTA1Ny00ZWI4LTkzMDItOGVkNWJkN2E4ZTkwXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '81%'}, {'Source': 'Metacritic', 'Value': '60/100'}]",60.0,7.5,"371,849",tt0100802,movie,,"$119,412,921",,,True,,Total Recall
631,Transformers: Rescue Bots,2011–2016,TV-Y7,17 Dec 2011,20 min,"Animation, Short, Action",,"Nicole Dubuc, Brian Hohlfeld, Jeff Kline","Lacey Chabert, Elan Garfias, Maurice LaMarche",The Rescue Bots are Transformers that work with a family of heroes to rescue humans from disasters. These non-violent Transformer stories were aimed at pre-school viewers.,English,"Canada, United States",2 wins & 8 nominations total,https://m.media-amazon.com/images/M/MV5BMTkwNTE2MzU1Nl5BMl5BanBnXkFtZTgwNjQ1MDgwMDE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}]",,6.6,"1,273",tt2139371,series,,,,,True,4.0,Transformers: Rescue Bots
632,Lilyhammer,2012–2014,TV-MA,15 Sep 2014,45 min,"Comedy, Crime, Drama",,"Eilif Skodvin, Anne Bjørnstad","Steven Van Zandt, Trond Fausa, Steinar Sagen",A New York mobster goes into hiding in rural Lillehammer in Norway after testifying against his former associates.,"Norwegian, English, Portuguese, Lithuanian, Nepali, Arabic","Norway, United States",5 wins & 1 nomination total,https://m.media-amazon.com/images/M/MV5BMTU5NjAyOTkyM15BMl5BanBnXkFtZTgwNzIzODAwMzE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.9/10'}]",,7.9,"33,092",tt1958961,series,,,,,True,3.0,Lilyhammer
633,The Smurfs,2011,PG,29 Jul 2011,103 min,"Animation, Adventure, Comedy",Raja Gosnell,"J. David Stem, David N. Weiss, Jay Scherick","Hank Azaria, Katy Perry, Jonathan Winters","When the evil wizard Gargamel chases the tiny blue Smurfs out of their village, they tumble from their magical world into New York City.",English,"United States, Belgium, Canada",2 wins & 8 nominations total,https://m.media-amazon.com/images/M/MV5BNzQxNDYyNTQtYjg1OC00OGJiLTk2YjMtZjZjZDgwOWFlOTJjXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '21%'}, {'Source': 'Metacritic', 'Value': '30/100'}]",30.0,5.4,"101,771",tt0472181,movie,,"$142,614,158",,,True,,The Smurfs
634,Soul Surfer,2011,PG,08 Apr 2011,112 min,"Biography, Drama, Family",Sean McNamara,"Sean McNamara, Deborah Schwartz, Douglas Schwartz","AnnaSophia Robb, Dennis Quaid, Helen Hunt","Bethany Hamilton, a professional surfer, loses her left arm in a shark attack. Unwilling to pay attention to the gravity of her situation, Bethany decides to get back into the ocean and surf again.",English,United States,2 wins & 12 nominations total,https://m.media-amazon.com/images/M/MV5BMTU2MDg0OTYyM15BMl5BanBnXkFtZTcwMjg5MjY0NA@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '45%'}, {'Source': 'Metacritic', 'Value': '53/100'}]",53.0,7.0,"55,014",tt1596346,movie,,"$43,853,424",,,True,,Soul Surfer
